artifact,classification,classification_reason,dataset_family,generation_protocol,independent_questions,k_traces_per_question,label_exposure,materialized_local,mean_tokens,model_or_generator,record_id,selection_confirmation_role,size_bytes,source,temperature,token_telemetry
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T0.3_run0.pkl,causal-prefix-valid,valid for CUSUM/sw_var and missing-aware causal replay; not a complete IU28 feature contract,MATH-500,Phase-15 single-trace temperature sweep; max_new/prompt pinned in historical manifest,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T0.3_run0,temperature heterogeneity/inventory; T1.0 is in the 11-cell early panel,41140197,read_only_drive_snapshot_2026-08-16,0.3,entropy+spilled+top-k; no logsumexp (25/29 historical streams)
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T0.6_run0.pkl,causal-prefix-valid,valid for CUSUM/sw_var and missing-aware causal replay; not a complete IU28 feature contract,MATH-500,Phase-15 single-trace temperature sweep; max_new/prompt pinned in historical manifest,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T0.6_run0,temperature heterogeneity/inventory; T1.0 is in the 11-cell early panel,39969066,read_only_drive_snapshot_2026-08-16,0.6,entropy+spilled+top-k; no logsumexp (25/29 historical streams)
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T1.0_run0.pkl,causal-prefix-valid,valid for CUSUM/sw_var and missing-aware causal replay; not a complete IU28 feature contract,MATH-500,Phase-15 single-trace temperature sweep; max_new/prompt pinned in historical manifest,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T1.0_run0,temperature heterogeneity/inventory; T1.0 is in the 11-cell early panel,53155006,read_only_drive_snapshot_2026-08-16,1.0,entropy+spilled+top-k; no logsumexp (25/29 historical streams)
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T1.0_run1.pkl,causal-prefix-valid,"valid remote causal telemetry, but large download was not authorized",MATH-500,Phase-15 repeat generation,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T1.0_run1,repeat/seed stability only; shared questions,52556233,read_only_drive_snapshot_2026-08-16,1.0,entropy+spilled+top-k; no logsumexp
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T1.0_run2.pkl,causal-prefix-valid,"valid remote causal telemetry, but large download was not authorized",MATH-500,Phase-15 repeat generation,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T1.0_run2,repeat/seed stability only; shared questions,50960644,read_only_drive_snapshot_2026-08-16,1.0,entropy+spilled+top-k; no logsumexp
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T1.0_run3.pkl,causal-prefix-valid,"valid remote causal telemetry, but large download was not authorized",MATH-500,Phase-15 repeat generation,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T1.0_run3,repeat/seed stability only; shared questions,47199866,read_only_drive_snapshot_2026-08-16,1.0,entropy+spilled+top-k; no logsumexp
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T1.0_run4.pkl,causal-prefix-valid,"valid remote causal telemetry, but large download was not authorized",MATH-500,Phase-15 repeat generation,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T1.0_run4,repeat/seed stability only; shared questions,50300904,read_only_drive_snapshot_2026-08-16,1.0,entropy+spilled+top-k; no logsumexp
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T1.5_run0.pkl,causal-prefix-valid,valid for CUSUM/sw_var and missing-aware causal replay; not a complete IU28 feature contract,MATH-500,Phase-15 single-trace temperature sweep; max_new/prompt pinned in historical manifest,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T1.5_run0,temperature heterogeneity/inventory; T1.0 is in the 11-cell early panel,100094204,read_only_drive_snapshot_2026-08-16,1.5,entropy+spilled+top-k; no logsumexp (25/29 historical streams)
gdrive:hallucination_detection/cache/phase15_temperature/math500_qwen7b_T2.0_run0.pkl,causal-prefix-valid,valid for CUSUM/sw_var and missing-aware causal replay; not a complete IU28 feature contract,MATH-500,Phase-15 single-trace temperature sweep; max_new/prompt pinned in historical manifest,200,1,opened Phase-15 development,False,,Qwen/Qwen2.5-Math-7B-Instruct,drive/phase15/math500_qwen7b_T2.0_run0,temperature heterogeneity/inventory; T1.0 is in the 11-cell early panel,132120778,read_only_drive_snapshot_2026-08-16,2.0,entropy+spilled+top-k; no logsumexp (25/29 historical streams)
dataset_cache/four_localization/prmbench_qwen3_8b_telemetry_full/prmbench_telemetry.pkl,localization-only,step labels support every-step scoring; no final-answer correctness target for the early panel,PRMBench,teacher-forced fixed official trace; /no_think,6969,1,opened PRMBench development,True,370.5259,Qwen/Qwen3-8B,prmbench/qwen3_8b/all_classes,retrospective separate step-level task,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans
