budget,cell_id,family,group,is_final,label_error,length_band,method,score,trace_id,trace_length,unit_index
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,deepconf_entropy_w64,0.042176939677347036,0:0,298,0
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,iu28_no_length,-0.028489618878767484,0:0,298,0
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,cusum_swvar_equal,-0.7899011790812299,0:0,298,0
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,deepconf_entropy_w64,0.0435806156202716,0:0,298,0
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,iu28_no_length,0.026450752545369154,0:0,298,0
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,cusum_swvar_equal,-0.7810820508082784,0:0,298,0
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,deepconf_entropy_w64,0.070878978385565,0:0,298,0
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,iu28_no_length,0.34341591506770436,0:0,298,0
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,cusum_swvar_equal,-0.6916530240356448,0:0,298,0
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,deepconf_entropy_w64,0.07463636099350879,0:0,298,0
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,iu28_no_length,0.34251662449871995,0:0,298,0
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,cusum_swvar_equal,-0.6909470622456121,0:0,298,0
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,deepconf_entropy_w64,0.14153392177761503,0:0,298,0
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,iu28_no_length,0.34365493575297273,0:0,298,0
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,False,0,128_511,cusum_swvar_equal,-0.46906023624357374,0:0,298,0
298,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,True,0,128_511,deepconf_entropy_w64,0.14153392177761503,0:0,298,0
298,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,True,0,128_511,iu28_no_length,0.34354266876827233,0:0,298,0
298,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0,True,0,128_511,cusum_swvar_equal,-0.46960165289956124,0:0,298,0
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,deepconf_entropy_w64,0.1749383983988082,1:0,639,1
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,iu28_no_length,0.12287522165980644,1:0,639,1
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,cusum_swvar_equal,-0.646942081686209,1:0,639,1
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,deepconf_entropy_w64,0.08853525713614374,1:0,639,1
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,iu28_no_length,0.1525431566180967,1:0,639,1
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,cusum_swvar_equal,-0.6396802929863645,1:0,639,1
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,deepconf_entropy_w64,0.0772866688754803,1:0,639,1
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,iu28_no_length,0.18387373038738564,1:0,639,1
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,cusum_swvar_equal,-0.5604711541508518,1:0,639,1
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,deepconf_entropy_w64,0.09558952162903012,1:0,639,1
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,iu28_no_length,0.22116143885635178,1:0,639,1
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,cusum_swvar_equal,-0.4033471719223729,1:0,639,1
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,deepconf_entropy_w64,0.13828522118751607,1:0,639,1
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,iu28_no_length,0.2217260762812325,1:0,639,1
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,cusum_swvar_equal,-0.40243330937930333,1:0,639,1
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,deepconf_entropy_w64,0.13828522118751607,1:0,639,1
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,iu28_no_length,0.27504523355300703,1:0,639,1
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,False,0,ge512,cusum_swvar_equal,-0.3976712253055897,1:0,639,1
639,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,True,0,ge512,deepconf_entropy_w64,0.13828522118751607,1:0,639,1
639,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,True,0,ge512,iu28_no_length,0.2776343738887741,1:0,639,1
639,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,1,True,0,ge512,cusum_swvar_equal,-0.3962611868492971,1:0,639,1
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,deepconf_entropy_w64,0.051755091899394756,2:0,480,2
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,iu28_no_length,0.026830048083459623,2:0,480,2
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,cusum_swvar_equal,-0.7644367817541631,2:0,480,2
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,deepconf_entropy_w64,0.03531121976720897,2:0,480,2
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,iu28_no_length,-0.05637798831246738,2:0,480,2
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,cusum_swvar_equal,-0.7641152451770316,2:0,480,2
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,deepconf_entropy_w64,0.07057380177502637,2:0,480,2
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,iu28_no_length,0.0437840967362173,2:0,480,2
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,cusum_swvar_equal,-0.6767401055872223,2:0,480,2
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,deepconf_entropy_w64,0.08489217856427445,2:0,480,2
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,iu28_no_length,0.1741419825628406,2:0,480,2
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,cusum_swvar_equal,-0.6447066762040401,2:0,480,2
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,deepconf_entropy_w64,0.08489217856427445,2:0,480,2
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,iu28_no_length,0.17756776531995339,2:0,480,2
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,False,0,128_511,cusum_swvar_equal,-0.6430482428529672,2:0,480,2
480,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,True,0,128_511,deepconf_entropy_w64,0.10922818990275118,2:0,480,2
480,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,True,0,128_511,iu28_no_length,0.27817617778396736,2:0,480,2
480,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,2,True,0,128_511,cusum_swvar_equal,-0.6277125483550183,2:0,480,2
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,deepconf_entropy_w64,0.33288876462449934,6:0,376,6
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,iu28_no_length,0.13901089821709525,6:0,376,6
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,cusum_swvar_equal,-0.649429496081604,6:0,376,6
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,deepconf_entropy_w64,0.20986493422452668,6:0,376,6
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,iu28_no_length,0.07478435128877024,6:0,376,6
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,cusum_swvar_equal,-0.6284416828240135,6:0,376,6
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,deepconf_entropy_w64,0.13148698797479597,6:0,376,6
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,iu28_no_length,0.08364136196260376,6:0,376,6
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,cusum_swvar_equal,-0.6268171428138516,6:0,376,6
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,deepconf_entropy_w64,0.13947657988498463,6:0,376,6
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,iu28_no_length,0.3282061371655259,6:0,376,6
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,cusum_swvar_equal,-0.44857534360843565,6:0,376,6
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,deepconf_entropy_w64,0.14515019684876052,6:0,376,6
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,iu28_no_length,0.32777333155928673,6:0,376,6
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,False,0,128_511,cusum_swvar_equal,-0.44838329478450856,6:0,376,6
376,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,True,0,128_511,deepconf_entropy_w64,0.14515019684876052,6:0,376,6
376,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,True,0,128_511,iu28_no_length,0.32720824252248637,6:0,376,6
376,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,True,0,128_511,cusum_swvar_equal,-0.44523877191631733,6:0,376,6
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,deepconf_entropy_w64,0.17591276764142094,11:0,2048,11
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,iu28_no_length,0.32490261944846677,11:0,2048,11
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,cusum_swvar_equal,-0.61995804425441,11:0,2048,11
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,deepconf_entropy_w64,0.10929384931841923,11:0,2048,11
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,iu28_no_length,0.25399824856028796,11:0,2048,11
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,cusum_swvar_equal,-0.6197955959496361,11:0,2048,11
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,deepconf_entropy_w64,0.09806707787993219,11:0,2048,11
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,iu28_no_length,0.254050273467322,11:0,2048,11
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,cusum_swvar_equal,-0.47792171899995345,11:0,2048,11
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,deepconf_entropy_w64,0.15799784181137966,11:0,2048,11
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,iu28_no_length,0.2538962263388338,11:0,2048,11
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,cusum_swvar_equal,-0.45506072917884355,11:0,2048,11
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,deepconf_entropy_w64,0.15918412283770067,11:0,2048,11
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,iu28_no_length,0.2540504465184538,11:0,2048,11
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,cusum_swvar_equal,-0.4525697784876326,11:0,2048,11
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,deepconf_entropy_w64,0.22785586308600614,11:0,2048,11
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,iu28_no_length,0.4561886958278116,11:0,2048,11
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,False,1,ge512,cusum_swvar_equal,-0.3003623007083235,11:0,2048,11
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,True,1,ge512,deepconf_entropy_w64,2.698046986013651,11:0,2048,11
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,True,1,ge512,iu28_no_length,1.2749177433057965,11:0,2048,11
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,11,True,1,ge512,cusum_swvar_equal,1.7944156729843588,11:0,2048,11
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,deepconf_entropy_w64,0.14185195534082595,15:0,2048,15
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,iu28_no_length,0.072818194649459,15:0,2048,15
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,cusum_swvar_equal,-0.7507416157052319,15:0,2048,15
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,deepconf_entropy_w64,0.09091742013697512,15:0,2048,15
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,iu28_no_length,0.1864236652117183,15:0,2048,15
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,cusum_swvar_equal,-0.7492967666478457,15:0,2048,15
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,deepconf_entropy_w64,0.06985579456039659,15:0,2048,15
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,iu28_no_length,0.1840568572872084,15:0,2048,15
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,cusum_swvar_equal,-0.7070755434908986,15:0,2048,15
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,deepconf_entropy_w64,0.16580596351050758,15:0,2048,15
