model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.3051948051948052,0.2222222222222222,0.46859903381642515,0.48704663212435234,0.35,400,207,193
qwen3_4b,math,processbench_math_qwen3_4b,0.28570125427594073,0.19528619528619529,0.46296296296296297,0.5320197044334976,0.332,1000,594,406
qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.2700119029906264,0.1800302571860817,0.3812405446293495,0.5398230088495575,0.302,1000,661,339
qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.28750253428644307,0.1844532279314888,0.3544137022397892,0.6514522821576764,0.297,1000,759,241
qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.25377407600208224,0.18840579710144928,0.45410628019323673,0.38860103626943004,0.285,400,207,193
qwen3_8b,math,processbench_math_qwen3_8b,0.29567316484400713,0.21717171717171718,0.4511784511784512,0.4630541871921182,0.317,1000,594,406
qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.2563323201621074,0.17397881996974282,0.4114977307110439,0.48672566371681414,0.28,1000,661,339
qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.26223184678892875,0.16469038208168643,0.35968379446640314,0.6431535269709544,0.28,1000,759,241
llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,0.35007072135785006,0.26570048309178745,0.5024154589371981,0.5129533678756477,0.385,400,207,193
llama31_8b,math,processbench_math_llama31_8b,0.29077098366881887,0.19528619528619529,0.4511784511784512,0.5689655172413793,0.347,1000,594,406
llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,0.26343066295363576,0.17549167927382753,0.3661119515885023,0.528023598820059,0.295,1000,661,339
llama31_8b,omnimath,processbench_omnimath_llama31_8b,0.26291463479984994,0.16469038208168643,0.34782608695652173,0.6514522821576764,0.282,1000,759,241
