lane,cell,split,graph,variable,role,categorical,n,rayleigh,smoothness_perm_mean,smoothness_perm_sd,smoothness_effect,smoothness_z,p_smoother,purity,purity_perm_mean,purity_perm_sd,purity_excess,purity_z
global24,ars_gsm8k_r1distill8b,leave_family_out,dufs,hallucination,target,True,500,0.8409539498188023,1.0048625500980495,0.01973605269858292,0.16311544326460745,8.30503458733752,0.004975124378109453,0.6711675555258869,0.6040853088654178,0.009110975492260514,0.06708224666046914,7.362795204251552
global24,ars_gsm8k_r1distill8b,leave_family_out,dufs,trace_length,nuisance,False,500,0.43968453634055876,1.0020198966708265,0.021313900427349035,0.5612017907015677,26.383503209422162,0.004975124378109453,0.45771993048538456,0.24972111688224918,0.008843245113229117,0.20799881360313538,23.52064326386001
global24,ars_gsm8k_r1distill8b,leave_family_out,dufs,row_order,nuisance,False,500,1.0564448095634382,1.0037819363270728,0.02106031122989822,-0.05246445600432256,-2.500574310677931,0.9950248756218906,0.23257919576871064,0.24903492281430326,0.009927956830813826,-0.016455727045592616,-1.657513960427212
global24,ars_gsm8k_r1distill8b,leave_family_out,ungated,hallucination,target,True,500,0.8318539273721907,1.0039756520064225,0.017764140410247303,0.17144013830440058,9.689279675753003,0.004975124378109453,0.6771144831794712,0.6027865552728767,0.00969867434175153,0.07432792790659448,7.663720348524584
global24,ars_gsm8k_r1distill8b,leave_family_out,ungated,trace_length,nuisance,False,500,0.2812899596847101,1.0016136377618021,0.02078982450524772,0.7191632091658832,34.64789603660529,0.004975124378109453,0.5370740998180259,0.2485801424838199,0.008660986424632073,0.288493957334206,33.3095958346871
global24,ars_gsm8k_r1distill8b,leave_family_out,ungated,row_order,nuisance,False,500,0.9934014509315524,1.0008196789348864,0.019640368001227666,0.0074121524181347135,0.3777031063201226,0.3681592039800995,0.2434520261210825,0.24863469025173238,0.0077641051563155025,-0.005182664130649883,-0.6675159630513485
global24,epr_triviaqa_mistral24b,leave_family_out,dufs,hallucination,target,True,621,0.8418796890360671,1.0018667730854134,0.01803583699057066,0.1596889809576574,8.870510646829937,0.004975124378109453,0.6995837026151037,0.6300072057996706,0.00875021684633958,0.0695764968154331,7.951402580901589
global24,epr_triviaqa_mistral24b,leave_family_out,dufs,trace_length,nuisance,False,621,0.12338289826281294,1.0017686832745178,0.01889235744931321,0.8768349417157795,46.49423913179436,0.004975124378109453,0.6511327402764908,0.2517078806385627,0.0076624273420982025,0.3994248596379281,52.12771903799268
global24,epr_triviaqa_mistral24b,leave_family_out,dufs,row_order,nuisance,False,621,0.992567403023718,1.0007565587770422,0.01855380685814381,0.008182964859437494,0.44137334272883566,0.3034825870646766,0.25188132791743767,0.2492867009594046,0.00845232900853423,0.0025946269580330583,0.3069718364504375
global24,epr_triviaqa_mistral24b,leave_family_out,ungated,hallucination,target,True,621,0.8608476518432201,1.001822331027698,0.019876715649308596,0.14071824396234206,7.092453384741234,0.004975124378109453,0.694570812499506,0.6303572671179952,0.009049081423463024,0.0642135453815108,7.096139638550927
