channel,scale,population,bin,centre,mean,n,slope_bin_means
q15_H1,raw,gate_closed,0,0.05,0.2480016302720907,115953,-0.1008567418821211
q15_H1,raw,gate_closed,1,0.15,0.22865192598062267,114814,-0.1008567418821211
q15_H1,raw,gate_closed,2,0.25,0.19642568721578518,115024,-0.1008567418821211
q15_H1,raw,gate_closed,3,0.35,0.18484504932849175,114878,-0.1008567418821211
q15_H1,raw,gate_closed,4,0.45,0.1677478603489367,114570,-0.1008567418821211
q15_H1,raw,gate_closed,5,0.55,0.1614736441213012,115263,-0.1008567418821211
q15_H1,raw,gate_closed,6,0.65,0.15664609893471226,115089,-0.1008567418821211
q15_H1,raw,gate_closed,7,0.75,0.14846568193167012,114813,-0.1008567418821211
q15_H1,raw,gate_closed,8,0.85,0.1444853263963774,115025,-0.1008567418821211
q15_H1,raw,gate_closed,9,0.95,0.16530174692367608,116185,-0.1008567418821211
q15_H1,answer_z,gate_closed,0,0.05,0.2059809817837975,115953,-0.28828642667907534
q15_H1,answer_z,gate_closed,1,0.15,0.1391054592089333,114814,-0.28828642667907534
q15_H1,answer_z,gate_closed,2,0.25,0.043229614073520106,115024,-0.28828642667907534
q15_H1,answer_z,gate_closed,3,0.35,0.004948543819001667,114878,-0.28828642667907534
q15_H1,answer_z,gate_closed,4,0.45,-0.04065774602344417,114570,-0.28828642667907534
q15_H1,answer_z,gate_closed,5,0.55,-0.056856159517856567,115263,-0.28828642667907534
q15_H1,answer_z,gate_closed,6,0.65,-0.0710968591537966,115089,-0.28828642667907534
q15_H1,answer_z,gate_closed,7,0.75,-0.09097874203212251,114813,-0.28828642667907534
q15_H1,answer_z,gate_closed,8,0.85,-0.10013998362599094,115025,-0.28828642667907534
q15_H1,answer_z,gate_closed,9,0.95,-0.03475585570723058,116185,-0.28828642667907534
q15_VE1,raw,gate_closed,0,0.05,0.2644759615004021,115953,-0.10842777792783333
q15_VE1,raw,gate_closed,1,0.15,0.2453878038551933,114814,-0.10842777792783333
q15_VE1,raw,gate_closed,2,0.25,0.21022192876622003,115024,-0.10842777792783333
q15_VE1,raw,gate_closed,3,0.35,0.20056051915446138,114878,-0.10842777792783333
q15_VE1,raw,gate_closed,4,0.45,0.18327663211842488,114570,-0.10842777792783333
q15_VE1,raw,gate_closed,5,0.55,0.17618160743174982,115263,-0.10842777792783333
q15_VE1,raw,gate_closed,6,0.65,0.17227538554954896,115089,-0.10842777792783333
q15_VE1,raw,gate_closed,7,0.75,0.162782335518601,114813,-0.10842777792783333
q15_VE1,raw,gate_closed,8,0.85,0.1570083416467632,115025,-0.10842777792783333
q15_VE1,raw,gate_closed,9,0.95,0.17100332721032074,116185,-0.10842777792783333
q15_VE1,answer_z,gate_closed,0,0.05,0.2273088555709997,115953,-0.33217318393338774
q15_VE1,answer_z,gate_closed,1,0.15,0.1571360174718932,114814,-0.33217318393338774
q15_VE1,answer_z,gate_closed,2,0.25,0.045594939379309266,115024,-0.33217318393338774
q15_VE1,answer_z,gate_closed,3,0.35,0.010768623916506579,114878,-0.33217318393338774
q15_VE1,answer_z,gate_closed,4,0.45,-0.038546329793870286,114570,-0.33217318393338774
q15_VE1,answer_z,gate_closed,5,0.55,-0.0588634896082297,115263,-0.33217318393338774
q15_VE1,answer_z,gate_closed,6,0.65,-0.07133571438974601,115089,-0.33217318393338774
q15_VE1,answer_z,gate_closed,7,0.75,-0.09833933420069682,114813,-0.33217318393338774
q15_VE1,answer_z,gate_closed,8,0.85,-0.11216858286202115,115025,-0.33217318393338774
q15_VE1,answer_z,gate_closed,9,0.95,-0.06262712108792799,116185,-0.33217318393338774
chosen_surprisal,raw,gate_closed,0,0.05,1.5153801991819449,115953,-0.7762433230664929
