contrast_id,left,right,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell,worst_cell_delta,bootstrap_draws,bootstrap_seed,interval
HISTDET_H3LOC__vs__HISTDET_HISTLOC__f1,HISTDET_H3LOC,HISTDET_HISTLOC,f1,-0.003070173736628601,-0.02845276420352434,0.020617701433714358,2,3,3,processbench_gsm8k_llama31_8b,-0.04633725462715588,2000,20260816,paired historical source-question grouped bootstrap
HISTDET_H3LOC__vs__HISTDET_HISTLOC__exact_error,HISTDET_H3LOC,HISTDET_HISTLOC,exact_error,-0.003611469302958692,-0.03150669074939722,0.021323306965470783,2,3,3,processbench_gsm8k_llama31_8b,-0.04999999999999999,2000,20260816,paired historical source-question grouped bootstrap
HISTDET_H3LOC__vs__HISTDET_HISTLOC__clean_abstention,HISTDET_H3LOC,HISTDET_HISTLOC,clean_abstention,0.0,0.0,0.0,0,8,0,processbench_gsm8k_llama31_8b,0.0,2000,20260816,paired historical source-question grouped bootstrap
HISTDET_H3LOC__vs__HISTDET_HISTLOC__within_one,HISTDET_H3LOC,HISTDET_HISTLOC,within_one,-0.011266476824987492,-0.03666765668503138,0.012598756572392218,1,2,5,processbench_gsm8k_llama31_8b,-0.04999999999999999,2000,20260816,paired historical source-question grouped bootstrap
H0DET_HISTLOC__vs__HISTDET_HISTLOC__f1,H0DET_HISTLOC,HISTDET_HISTLOC,f1,0.013119366986144965,-0.005696686206804744,0.03424049189461102,7,0,1,processbench_math_qwen3_8b,-0.0068202566909768,2000,20260816,paired historical source-question grouped bootstrap
H0DET_HISTLOC__vs__HISTDET_HISTLOC__exact_error,H0DET_HISTLOC,HISTDET_HISTLOC,exact_error,-0.0018437925352818851,-0.020047915343976652,0.014945933620879186,6,0,2,processbench_gsm8k_qwen3_8b,-0.125,2000,20260816,paired historical source-question grouped bootstrap
H0DET_HISTLOC__vs__HISTDET_HISTLOC__clean_abstention,H0DET_HISTLOC,HISTDET_HISTLOC,clean_abstention,0.033796296296296324,0.0007448988297614646,0.068631533023532,4,0,4,processbench_olympiadbench_llama31_8b,-0.09876543209876543,2000,20260816,paired historical source-question grouped bootstrap
H0DET_HISTLOC__vs__HISTDET_HISTLOC__within_one,H0DET_HISTLOC,HISTDET_HISTLOC,within_one,0.011019100580270835,-0.010504414074702387,0.0329310285029248,6,1,1,processbench_gsm8k_qwen3_8b,-0.15000000000000002,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__H0DET_HISTLOC__f1,H0DET_H3LOC,H0DET_HISTLOC,f1,-0.006688845279595179,-0.03217327638327827,0.018151811757044518,1,4,3,processbench_gsm8k_llama31_8b,-0.0412735849056603,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__H0DET_HISTLOC__exact_error,H0DET_H3LOC,H0DET_HISTLOC,exact_error,-0.007601950354609921,-0.03495892577487023,0.018905591097382077,1,4,3,processbench_gsm8k_llama31_8b,-0.04999999999999999,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__H0DET_HISTLOC__clean_abstention,H0DET_H3LOC,H0DET_HISTLOC,clean_abstention,0.0,0.0,0.0,0,8,0,processbench_gsm8k_llama31_8b,0.0,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__H0DET_HISTLOC__within_one,H0DET_H3LOC,H0DET_HISTLOC,within_one,-0.01697717422451467,-0.04169375640466028,0.006428008540166044,1,1,6,processbench_gsm8k_llama31_8b,-0.04999999999999993,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__HISTDET_H3LOC__f1,H0DET_H3LOC,HISTDET_H3LOC,f1,0.009500695443178386,-0.010406001445702423,0.030909502425618435,7,0,1,processbench_gsm8k_qwen3_8b,-0.012373230882228303,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__HISTDET_H3LOC__exact_error,H0DET_H3LOC,HISTDET_H3LOC,exact_error,-0.005834273586933114,-0.024968934910332252,0.011479450973817014,6,1,1,processbench_gsm8k_qwen3_8b,-0.15000000000000002,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__HISTDET_H3LOC__clean_abstention,H0DET_H3LOC,HISTDET_H3LOC,clean_abstention,0.033796296296296324,0.0006009330853080921,0.06962410249923136,4,0,4,processbench_olympiadbench_llama31_8b,-0.09876543209876543,2000,20260816,paired historical source-question grouped bootstrap
H0DET_H3LOC__vs__HISTDET_H3LOC__within_one,H0DET_H3LOC,HISTDET_H3LOC,within_one,0.005308403180743659,-0.016229883656726684,0.028584304376810848,5,2,1,processbench_gsm8k_qwen3_8b,-0.17500000000000004,2000,20260816,paired historical source-question grouped bootstrap
