source_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,notes
panel::official_macro_f1,current_common_eight_qwen,aggregate,all,macro_f1,0.3362936976995669,0.31794973532199383,0.3530094135169474,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::first_error_exact,current_common_eight_qwen,aggregate,all,first_error_exact,0.25071324306672593,0.2317826476347634,0.27012975519339966,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::first_error_within_one,current_common_eight_qwen,aggregate,all,first_error_within_one,0.4627971098651228,0.4409320576765013,0.4844670571337575,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::clean_abstention_accuracy,current_common_eight_qwen,aggregate,all,clean_abstention_accuracy,0.5418250670522893,0.5148830142735573,0.5689988958499675,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::overall_decision_accuracy,current_common_eight_qwen,aggregate,all,overall_decision_accuracy,0.348,0.33187500000000003,0.36424999999999996,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
cell::processbench_gsm8k_qwen3_4b,current_common_eight_qwen,processbench_gsm8k_qwen3_4b,gsm8k,macro_f1,0.35923853711790393,,,400,400,descriptive per-cell metric
cell::processbench_math_qwen3_4b,current_common_eight_qwen,processbench_math_qwen3_4b,math,macro_f1,0.3398385153320345,,,1000,1000,descriptive per-cell metric
cell::processbench_olympiadbench_qwen3_4b,current_common_eight_qwen,processbench_olympiadbench_qwen3_4b,olympiadbench,macro_f1,0.3163481822710695,,,1000,1000,descriptive per-cell metric
cell::processbench_omnimath_qwen3_4b,current_common_eight_qwen,processbench_omnimath_qwen3_4b,omnimath,macro_f1,0.31277196834790527,,,1000,1000,descriptive per-cell metric
cell::processbench_gsm8k_qwen3_8b,current_common_eight_qwen,processbench_gsm8k_qwen3_8b,gsm8k,macro_f1,0.3657168643630737,,,400,400,descriptive per-cell metric
cell::processbench_math_qwen3_8b,current_common_eight_qwen,processbench_math_qwen3_8b,math,macro_f1,0.35572249226690233,,,1000,1000,descriptive per-cell metric
cell::processbench_olympiadbench_qwen3_8b,current_common_eight_qwen,processbench_olympiadbench_qwen3_8b,olympiadbench,macro_f1,0.3363681403860189,,,1000,1000,descriptive per-cell metric
cell::processbench_omnimath_qwen3_8b,current_common_eight_qwen,processbench_omnimath_qwen3_8b,omnimath,macro_f1,0.3043448815116272,,,1000,1000,descriptive per-cell metric
length::short::macro_f1,current_common_eight_qwen_step_length,short,short,macro_f1,0.23482538876382755,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::short::first_error_exact,current_common_eight_qwen_step_length,short,short,first_error_exact,0.1576507139157691,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::short::first_error_within_one,current_common_eight_qwen_step_length,short,short,first_error_within_one,0.35811970231453566,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::short::clean_abstention_accuracy,current_common_eight_qwen_step_length,short,short,clean_abstention_accuracy,0.5418250670522893,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::medium::macro_f1,current_common_eight_qwen_step_length,medium,medium,macro_f1,0.32632079235212297,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::medium::first_error_exact,current_common_eight_qwen_step_length,medium,medium,first_error_exact,0.2441035709538999,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::medium::first_error_within_one,current_common_eight_qwen_step_length,medium,medium,first_error_within_one,0.4736422317631199,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::medium::clean_abstention_accuracy,current_common_eight_qwen_step_length,medium,medium,clean_abstention_accuracy,0.5418250670522893,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::long::macro_f1,current_common_eight_qwen_step_length,long,long,macro_f1,0.4480018391864713,,,1476,1476,descriptive calibration-frozen true-error step-length stratum
