cell,domain,n,m,n_positive,positive_rate,good6_present,anchor_name
epr_triviaqa_mistral24b,QA,621,28,469,0.755233,6,epr
losnet_hotpotqa_mistral7b,QA,500,29,169,0.338,6,epr
sciq_llama8b,QA,198,30,131,0.661616,6,epr
se_nq_open_llama8b,QA,8460,27,4105,0.485225,6,epr
se_squad_v2_llama8b,QA,2933,27,820,0.279577,6,epr
seiclr_triviaqa_opt30b,QA,5000,19,2324,0.4648,4,epr
semenergy_triviaqa_qwen3_8b,QA,4392,27,2094,0.476776,6,epr
spilled_triviaqa_llama8b,QA,256,28,6,0.023438,6,epr
truthfulqa_llama8b,QA,7633,29,809,0.105987,6,epr
ars_gsm8k_r1distill8b,math,500,30,364,0.728,6,epr
internalstates_gsm8k_qwen25_7b,math,500,29,147,0.294,6,epr
lapeigvals_gsm8k_llama3b,math,1319,30,587,0.445034,6,epr
lapeigvals_gsm8k_llama8b,math,500,29,362,0.724,6,epr
lapeigvals_gsm8k_mistral24b,math,1319,30,1210,0.917362,6,epr
lapeigvals_gsm8k_nemo,math,1319,29,1094,0.829416,6,epr
lapeigvals_gsm8k_phi35,math,1319,29,1118,0.847612,6,epr
noise_gsm8k_mistral7b,math,1319,29,658,0.498863,6,epr
noise_gsm8k_phi3mini,math,1319,29,936,0.709629,6,epr
math500_dsmath7b,math,300,30,57,0.19,6,epr
math500_qwenmath7b,math,300,28,68,0.226667,6,epr
math500_r1distill8b,math,300,28,86,0.286667,6,epr
math500_r1distill8b_mn4096,math,300,29,117,0.39,6,epr
trace_gsm8k_llama8b_k10,math,5000,29,3680,0.736,6,epr
trace_math500_qwenmath15b_k10,math,3000,30,529,0.176333,6,epr
