cell,group,dufs,groupfs,best_sel,best_sel_variant,good6,comp,comp_method,comp_sup,delta_dufs_comp,verdict_selector_vs_comp,verdict_good6_vs_comp,verdict_selector_vs_good6
epr_triviaqa_mistral24b,QA,0.7453288070923577,0.7431264728986646,0.7453288070923577,a2.dufs,0.7331949276175513,0.746,EPR,unsupervised,-0.0006711929076422818,LOSS,LOSS,WIN
inside_coqa_llama7b,QA,0.5220822173748253,0.5038652923405011,0.6840627757131781,a4.good5+K_intrinsic_ah,0.6673670403915383,0.804,INSIDE,unsupervised,-0.28191778262517475,LOSS,LOSS,LOSS
losnet_hotpotqa_mistral7b,QA,0.5683691163588909,0.5772180410804626,0.5843508107045174,a3.cae_k4,0.5809721303562809,0.7292,LOS-Net,supervised,-0.1608308836411091,LOSS,LOSS,LOSS
sciq_llama8b,QA,0.7407998177053664,0.7403440811211118,0.7582317420530933,a4.recon_s5,0.7477498006152443,0.8604,HCPD (arXiv 2606.12900),unsupervised,-0.11960018229463365,LOSS,LOSS,LOSS
se_nq_open_llama8b,QA,0.7527359734635173,0.7497942499625921,0.7527359734635173,a2.dufs,0.7303111911630826,0.9038,HCPD (arXiv 2606.12900),unsupervised,-0.15106402653648277,LOSS,LOSS,WIN
se_squad_v2_llama8b,QA,0.8118921196310874,0.8113513326330614,0.8118921196310874,a2.dufs,0.8110489074602057,,,,,,,WIN
seiclr_triviaqa_opt30b,QA,0.5614045527451514,0.5750536283951346,0.6214340060306344,a1.router@minres,0.5883956570917686,0.83,Semantic Entropy (SE-ICLR'23),unsupervised,-0.2685954472548485,LOSS,LOSS,LOSS
semenergy_triviaqa_qwen3_8b,QA,0.7890325294284387,0.7804442299811388,0.8021792131856695,a1.good5+K_kn,0.8159613899549709,0.748,Semantic Energy,unsupervised,0.04103252942843871,WIN,WIN,LOSS
spilled_triviaqa_llama8b,QA,0.9413333333333334,0.9373333333333334,0.9646666666666666,kurtosis_s6,0.942,0.8625,HCPD (arXiv 2606.12900),unsupervised,0.07883333333333331,WIN,WIN,LOSS
truthfulqa_llama8b,QA,0.6541440303038646,0.6536900954531161,0.6827591341256121,lapscore_s6,0.6571993052949163,0.842,TSV (arXiv 2503.01917),supervised,-0.18785596969613538,LOSS,LOSS,LOSS
ars_gsm8k_r1distill8b,math,0.7030542986425339,0.7089124111182934,0.7584639625080801,a3.cae_k8,0.7623222365869424,0.7472,ARS (CCS),unsupervised,-0.044145701357466094,LOSS,WIN,LOSS
internalstates_gsm8k_qwen25_7b,math,0.7009886107417471,0.690216029754678,0.7418627507660287,mad_s5,0.703590217956871,0.7915,Internal-States+RC,supervised,-0.09051138925825286,LOSS,LOSS,LOSS
lapeigvals_gsm8k_llama3b,math,0.7087347911488442,0.7140293797302204,0.7163496895392893,mcfs_s5,0.7025209223522402,0.717,AttentionScore (LapEigvals paper),unsupervised,-0.00826520885115578,LOSS,LOSS,WIN
lapeigvals_gsm8k_llama8b,math,0.8181799983985908,0.8189206501721515,0.8189206501721515,a2.select,0.8186404035551285,0.72,AttentionScore (LapEigvals paper),unsupervised,0.09817999839859082,WIN,WIN,LOSS
lapeigvals_gsm8k_mistral24b,math,0.844408218970354,0.8451664265675942,0.8608916521343544,lapscore_s5,0.808749715672151,0.576,AttentionScore (LapEigvals paper),unsupervised,0.26840821897035405,WIN,WIN,WIN
lapeigvals_gsm8k_nemo,math,0.7935486491976438,0.7912370505789152,0.7935486491976438,a2.dufs,0.8013325208206379,0.63,AttentionScore (LapEigvals paper),unsupervised,0.16354864919764378,WIN,WIN,LOSS
lapeigvals_gsm8k_phi35,math,0.8048442937370394,0.7962246015005474,0.8126140318087559,kurtosis_s5,0.812493881220018,0.666,AttentionScore (LapEigvals paper),unsupervised,0.13884429373703933,WIN,WIN,LOSS
noise_gsm8k_mistral7b,math,0.7780626204194621,0.7719261136069969,0.7939246513296148,a1.router@minres,0.7902344702003504,0.785,Noise Injection,unsupervised,-0.006937379580537972,LOSS,WIN,LOSS
noise_gsm8k_phi3mini,math,0.6786196469616835,0.6714952801767422,0.6828931512351878,a3.cae_k3,0.6800590256856576,0.7251,Noise Injection,unsupervised,-0.046480353038316435,LOSS,LOSS,LOSS
math500_dsmath7b,math,0.7834091401342863,0.7709190672153634,0.8081004981589777,mcfs_adapt,0.7868023969388491,,,,,,,LOSS
math500_qwenmath7b,math,0.904728701825558,0.9060598377281948,0.9371196754563894,a3.cae_k4,0.8900862068965518,,,,,,,WIN
math500_r1distill8b,math,0.8401434470767225,0.8413931753966528,0.863507933058031,mcfs_s4,0.8357422299500108,,,,,,,WIN
math500_r1distill8b_mn4096,math,0.8091635140815469,0.8087898743636449,0.8505908178039325,a1.upcrres_greedy,0.8328896361683247,,,,,,,LOSS
trace_gsm8k_llama8b_k10,math,0.8109025032938076,0.8068513257575759,0.8139387763504612,mcfs_s6,0.8092908020421608,,,,,,,WIN
trace_math500_qwenmath15b_k10,math,0.6887356473083994,0.6893407764472417,0.6997863305076124,mcfs_s4,0.6759889194811037,,,,,,,WIN
