access_tier,answer_process_stratum,candidate,detector,error_position_quartile,family,length_stratum,locator,model,prediction,reducer,score,target,task,trace_length,unit
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,long,1,qwen3_8b,1,step_max_token_argmax,-0.06403099435498635,1,local,354,gsm8k-1
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,long,1,qwen3_8b,1,step_max_token_argmax,0.30961780690855956,1,local,530,gsm8k-105
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,long,5,qwen3_8b,5,step_max_token_argmax,1.020463794930654,1,local,374,gsm8k-108
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,long,3,qwen3_8b,3,step_max_token_argmax,0.8504665873839224,1,local,426,gsm8k-109
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,long,0,qwen3_8b,0,step_max_token_argmax,0.34638825189425615,2,local,343,gsm8k-112
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,0.15457978524310406,0,local,233,gsm8k-124
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,0.000998683805880543,1,local,161,gsm8k-132
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,0.09805133796685578,3,local,319,gsm8k-133
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,medium,2,qwen3_8b,2,step_max_token_argmax,0.3565502728071901,1,local,292,gsm8k-144
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,0.08304832184324021,0,local,143,gsm8k-145
