budget,calibration_hash,cell_id,continuous_score,discrete_prediction,family,fold,group_id,label,lane,locator,method_id,population_id,prediction_status,row_id,schema,source_artifact_hash,stratify_label
final,,processbench@e8024636bcab::llama31_8b::gsm8k,,1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,,critic_qwen25_72b_single_greedy,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,74591574e68645dcd9e75832fa1d7c6241179500da473b37e98e2932af748a69,1
final,,processbench@e8024636bcab::llama31_8b::gsm8k,,0,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,,eq6_qwen3_8b_precontract,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,667e1fd986b8bd5cf2c124128dc69946c70c85e8325d33426b57371d8544834c,1
final,5259efd406177fd6a3cbb57f4f601df71e29d2fc0b0e688cc798613019ff6e1d,processbench@e8024636bcab::llama31_8b::gsm8k,1.438835854056992,1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,1,family6_level_step_top5mean,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,6749d1b846e29288e46536f9d9d8e63715b447576950d8e2131fe3420a16cead,1
final,57e49f4f34dd64cc43ea8861cd0dd84af073a36028e9f01621204310f64f9d3f,processbench@e8024636bcab::llama31_8b::gsm8k,0.3508536715245776,1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,1,gl_liu_v1_replay,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,6749d1b846e29288e46536f9d9d8e63715b447576950d8e2131fe3420a16cead,1
final,8dce6f3c9a68932746ebbe43265bc0defc5bf6bb92a9e2fa0f9d39e7551fe525,processbench@e8024636bcab::llama31_8b::gsm8k,2.1662416458129883,-1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,1,max_entropy_step_top5mean,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,6749d1b846e29288e46536f9d9d8e63715b447576950d8e2131fe3420a16cead,1
final,08f0e3a9877ca22b942831496950af86d58d004a26d03d54f9c984b9c1c08b8c,processbench@e8024636bcab::llama31_8b::gsm8k,0.45572038495123535,-1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,1,mind_the_gap_common_replay,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,6749d1b846e29288e46536f9d9d8e63715b447576950d8e2131fe3420a16cead,1
final,,processbench@e8024636bcab::llama31_8b::gsm8k,,1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,,prm_qwen25_math_7b,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,8b0ef348e0a31e36b0513cc4415e1f4cd7e51e4b91826c9990801719d8a0f35b,1
final,f19f0f4e8f2024adfc00a6aa3978adc09299fb77be2ffb3de8ebb071ba915a2e,processbench@e8024636bcab::llama31_8b::gsm8k,0.5269326735843145,-1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,1,unified28,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,0c2917cbfe827cefa616eb8d161e0583674c5498e0b7a14cdebb10c7dda73dc8,1
final,,processbench@e8024636bcab::llama31_8b::gsm8k,,-1,gsm8k,4,processbench@e8024636bcab::gsm8k::gsm8k-0,1,localization,,uprm_eq6_qwen25_14b_control,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-0,comparison_record_v1,44a1f169ca10dc5df82065462b721df20029f415daa6a0e9a9fde4fb9cba1d81,1
final,,processbench@e8024636bcab::llama31_8b::gsm8k,,-1,gsm8k,2,processbench@e8024636bcab::gsm8k::gsm8k-1,1,localization,,critic_qwen25_72b_single_greedy,processbench@e8024636bcab::llama31_8b::localization,parsed,processbench@e8024636bcab::gsm8k::gsm8k-1,comparison_record_v1,74591574e68645dcd9e75832fa1d7c6241179500da473b37e98e2932af748a69,1
